tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.8063,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.55,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.1875,96.8,100.0,0.0,0.0,0.0,0.0
10,0,3.0,0.0,1.0,1.0,0.0,3,5,0,0,0,0,0,98.975,96.3,100.0,0.0,0.0,0.0,0.0
11,0,4.0,1.0,0.0,1.0,0.0,4,4,0,0,0,0,0,98.7625,96.3,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,0.0,1.0,0.0,4,4,0,0,0,0,0,98.55,96.3,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,0.0,1.0,0.0,4,4,0,0,0,0,0,98.3375,96.1,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,0.0,1.0,0.0,4,4,0,0,0,0,0,98.1063,95.6,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,0.0,1.0,0.0,5,3,0,0,0,0,0,97.8313,95.1,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,97.5563,94.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,97.2813,94.1,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,4,3,1,0,0,0,0,97.05,94.1,100.0,0.0,0.0,1.0,1.0
19,0,7.0,2.0,0.0,1.0,0.0,7,1,0,0,0,0,0,96.65,93.6,100.0,0.0,0.0,0.0,1.0
20,0,7.0,0.0,0.0,1.0,0.0,7,1,0,0,0,0,0,96.25,93.1,100.0,0.0,0.0,0.0,1.0
21,0,6.0,0.0,1.0,2.0,0.0,6,2,0,0,0,0,0,95.85,92.6,100.0,0.0,0.0,0.0,1.0
22,0,5.0,0.0,1.0,3.0,0.0,5,3,0,0,0,0,0,95.5125,92.1,100.0,0.0,0.0,0.0,1.0
23,0,5.0,1.0,1.0,4.0,0.0,4,3,1,0,0,0,0,95.2563,92.1,100.0,0.0,0.0,1.0,2.0
24,0,5.0,0.0,0.0,4.0,0.0,4,3,1,0,0,0,0,95.0625,91.6,100.0,1.0,1.0,1.0,3.0
25,0,4.0,1.0,2.0,6.0,0.0,4,4,0,0,0,0,0,94.7188,91.1,100.0,0.0,1.0,0.0,3.0
26,0,4.0,0.0,0.0,6.0,0.0,4,4,0,0,0,0,0,94.525,91.1,100.0,0.0,1.0,0.0,3.0
27,0,5.0,1.0,0.0,6.0,0.0,5,3,0,0,0,0,0,94.2875,91.1,100.0,0.0,1.0,0.0,3.0
28,0,4.0,0.0,1.0,7.0,0.0,4,4,0,0,0,0,0,94.05,90.9,100.0,0.0,1.0,0.0,3.0
29,0,4.0,0.0,0.0,7.0,0.0,4,4,0,0,0,0,0,93.875,90.55,100.0,0.0,1.0,0.0,3.0
30,0,4.0,0.0,0.0,7.0,0.0,4,4,0,0,0,0,0,93.6813,90.2,100.0,0.0,1.0,0.0,3.0
31,0,5.0,1.0,0.0,7.0,0.0,5,3,0,0,0,0,0,93.4438,89.85,100.0,0.0,1.0,0.0,3.0
32,0,5.0,0.0,0.0,7.0,0.0,5,3,0,0,0,0,0,93.1688,89.5,100.0,0.0,1.0,0.0,3.0
33,0,5.0,0.0,0.0,7.0,0.0,4,3,1,0,0,0,0,92.9563,89.15,100.0,0.0,1.0,1.0,4.0
34,0,5.0,0.0,0.0,7.0,0.0,5,3,0,0,0,0,0,92.6813,88.8,100.0,0.0,1.0,0.0,4.0
35,0,7.0,2.0,0.0,7.0,0.0,7,1,0,0,0,0,0,92.3188,88.45,100.0,0.0,1.0,0.0,4.0
36,0,7.0,0.0,0.0,7.0,0.0,7,1,0,0,0,0,0,91.9563,88.1,100.0,0.0,1.0,0.0,4.0
37,0,8.0,1.0,0.0,7.0,0.0,8,0,0,0,0,0,0,91.55,87.75,99.65,0.0,1.0,0.0,4.0
38,0,7.0,0.0,1.0,8.0,0.0,7,1,0,0,0,0,0,91.1438,87.4,99.3,0.0,1.0,0.0,4.0
39,0,7.0,0.0,0.0,8.0,0.0,7,1,0,0,0,0,0,90.8,87.05,98.95,0.0,1.0,0.0,4.0
40,0,7.0,0.0,0.0,8.0,0.0,7,1,0,0,0,0,0,90.4563,86.7,98.6,0.0,1.0,0.0,4.0
41,0,6.0,0.0,1.0,9.0,0.0,6,2,0,0,0,0,0,90.1125,86.2,98.25,0.0,1.0,0.0,4.0
42,0,6.0,0.0,0.0,9.0,0.0,6,2,0,0,0,0,0,89.8313,86.0,97.9,0.0,1.0,0.0,4.0
43,0,8.0,2.0,0.0,9.0,0.0,7,0,1,0,0,0,0,89.5063,85.65,97.55,0.0,1.0,1.0,5.0
44,0,8.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,89.1188,85.15,97.2,0.0,1.0,0.0,5.0
45,1,9.0,1.0,0.0,9.0,0.0,8,0,0,0,0,0,0,88.7313,84.65,96.85,0.0,1.0,0.0,5.0
46,1,9.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,88.325,84.15,96.5,0.0,1.0,0.0,5.0
47,1,8.0,0.0,1.0,10.0,0.0,6,1,1,0,0,0,0,87.9625,83.65,96.15,0.0,1.0,1.0,6.0
48,0,8.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,87.575,83.15,95.8,0.0,1.0,0.0,6.0
49,0,8.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,87.25,82.65,95.45,0.0,1.0,1.0,7.0
50,0,8.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,86.8875,82.15,95.1,0.0,1.0,1.0,8.0
51,2,9.0,2.0,1.0,11.0,0.0,4,1,3,0,0,0,0,86.6313,81.65,94.75,0.0,1.0,3.0,11.0
52,1,9.0,0.0,0.0,11.0,0.0,6,0,2,0,0,0,0,86.375,81.65,94.25,1.0,2.0,3.0,14.0
53,1,9.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,85.95,81.3,93.75,0.0,2.0,0.0,14.0
54,1,8.0,0.0,1.0,12.0,0.0,7,1,0,0,0,0,0,85.525,80.95,93.25,0.0,2.0,0.0,14.0
55,2,9.0,2.0,1.0,13.0,0.0,6,1,1,0,0,0,0,85.1813,80.6,92.9,0.0,2.0,1.0,15.0
56,1,9.0,0.0,0.0,13.0,0.0,7,0,1,0,0,0,0,84.8375,80.25,92.55,0.0,2.0,1.0,16.0
57,1,8.0,0.0,1.0,14.0,0.0,7,1,0,0,0,0,0,84.45,79.9,92.2,0.0,2.0,0.0,16.0
58,0,8.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,84.0813,79.55,91.85,0.0,2.0,0.0,16.0
59,1,9.0,1.0,0.0,14.0,0.0,8,0,0,0,0,0,0,83.7125,79.2,91.5,0.0,2.0,0.0,16.0
60,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,83.325,78.85,91.15,0.0,2.0,0.0,16.0
61,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,82.9375,78.5,90.8,0.0,2.0,0.0,16.0
62,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,82.55,78.15,90.45,0.0,2.0,0.0,16.0
63,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,82.1438,77.8,90.1,0.0,2.0,0.0,16.0
64,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,81.6813,77.3,89.75,0.0,2.0,0.0,16.0
65,3,11.0,2.0,0.0,14.0,0.0,8,0,0,0,0,0,0,81.2188,76.8,89.4,0.0,2.0,0.0,16.0
66,3,10.0,0.0,1.0,15.0,0.0,7,1,0,0,0,0,0,80.7375,76.3,89.05,0.0,2.0,0.0,16.0
67,4,12.0,2.0,0.0,15.0,0.0,8,0,0,0,0,0,0,80.275,75.8,88.7,0.0,2.0,0.0,16.0
68,4,10.0,0.0,2.0,17.0,0.0,6,2,0,0,0,0,0,79.8125,75.3,88.35,0.0,2.0,0.0,16.0
69,2,9.0,0.0,1.0,18.0,0.0,7,1,0,0,0,0,0,79.3875,74.8,88.0,0.0,2.0,0.0,16.0
70,1,9.0,0.0,0.0,18.0,0.0,8,0,0,0,0,0,0,78.9813,74.45,87.65,0.0,2.0,0.0,16.0
71,1,8.0,0.0,1.0,19.0,0.0,6,1,1,0,0,0,0,78.6188,74.45,87.3,0.0,2.0,1.0,17.0
72,0,8.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,78.2313,74.1,86.95,0.0,2.0,0.0,17.0
73,0,8.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,77.8438,73.75,86.6,0.0,2.0,0.0,17.0
74,0,7.0,0.0,1.0,20.0,0.0,7,1,0,0,0,0,0,77.4563,73.4,86.25,0.0,2.0,0.0,17.0
75,1,8.0,2.0,1.0,21.0,0.0,7,1,0,0,0,0,0,77.0875,73.05,85.9,0.0,2.0,0.0,17.0
76,0,8.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,76.7375,72.7,85.55,0.0,2.0,0.0,17.0
77,0,8.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,76.3875,72.35,85.2,0.0,2.0,0.0,17.0
78,0,8.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,76.0188,72.0,84.85,0.0,2.0,0.0,17.0
79,2,10.0,2.0,0.0,21.0,0.0,8,0,0,0,0,0,0,75.65,71.65,84.5,0.0,2.0,0.0,17.0
80,2,10.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,75.2813,71.3,84.15,0.0,2.0,0.0,17.0
81,2,10.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,74.8938,70.95,83.65,0.0,2.0,0.0,17.0
82,2,10.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,74.4875,70.6,83.15,0.0,2.0,0.0,17.0
83,3,11.0,1.0,0.0,21.0,0.0,8,0,0,0,0,0,0,74.0813,70.1,82.65,0.0,2.0,0.0,17.0
84,3,11.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,73.675,69.6,82.15,0.0,2.0,0.0,17.0
85,4,12.0,1.0,0.0,21.0,0.0,8,0,0,0,0,0,0,73.25,69.1,81.65,0.0,2.0,0.0,17.0
86,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,72.7875,68.6,81.15,0.0,2.0,0.0,17.0
87,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,72.325,68.1,80.65,0.0,2.0,0.0,17.0
88,4,11.0,0.0,1.0,22.0,0.0,7,1,0,0,0,0,0,71.8625,67.6,80.15,0.0,2.0,0.0,17.0
89,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,71.4188,67.1,79.65,0.0,2.0,0.0,17.0
90,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,70.975,66.6,79.15,0.0,2.0,0.0,17.0
91,5,12.0,2.0,1.0,23.0,0.0,7,1,0,0,0,0,0,70.5125,66.1,78.65,0.0,2.0,0.0,17.0
92,4,12.0,0.0,0.0,23.0,0.0,7,0,1,0,0,0,0,70.1313,65.9,78.3,0.0,2.0,1.0,18.0
93,5,12.0,1.0,1.0,24.0,0.0,7,1,0,0,0,0,0,69.6875,65.4,77.95,0.0,2.0,0.0,18.0
94,4,12.0,0.0,0.0,24.0,0.0,6,0,2,0,0,0,0,69.3688,64.9,77.6,0.0,2.0,2.0,20.0
95,5,13.0,1.0,0.0,24.0,0.0,7,0,1,0,0,0,0,69.05,64.4,77.25,1.0,3.0,2.0,22.0
96,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,68.6063,63.9,76.9,0.0,3.0,0.0,22.0
97,5,13.0,0.0,0.0,24.0,0.0,6,0,2,0,0,0,0,68.2875,63.4,76.55,0.0,3.0,2.0,24.0
98,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,67.8438,62.9,76.2,0.0,3.0,0.0,24.0
99,6,13.0,1.0,1.0,25.0,0.0,7,1,0,0,0,0,0,67.4,62.4,75.85,0.0,3.0,0.0,24.0
100,5,13.0,0.0,0.0,25.0,0.0,8,0,0,0,0,0,0,66.975,62.05,75.5,0.0,3.0,0.0,24.0
101,5,12.0,0.0,1.0,26.0,0.0,7,1,0,0,0,0,0,66.55,61.7,75.15,0.0,3.0,0.0,24.0
102,4,12.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,66.125,61.35,74.8,0.0,3.0,0.0,24.0
103,5,13.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,65.7,61.0,74.45,0.0,3.0,0.0,24.0
104,5,13.0,0.0,0.0,26.0,0.0,6,0,2,0,0,0,0,65.4,60.65,74.1,0.0,3.0,2.0,26.0
105,6,14.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,64.975,60.3,73.75,0.0,3.0,0.0,26.0
106,6,13.0,0.0,1.0,27.0,0.0,7,1,0,0,0,0,0,64.55,59.95,73.4,0.0,3.0,0.0,26.0
107,7,15.0,2.0,0.0,27.0,0.0,8,0,0,0,0,0,0,64.1438,59.6,73.05,0.0,3.0,0.0,26.0
108,7,15.0,0.0,0.0,27.0,0.0,6,0,2,0,0,0,0,63.825,59.1,72.55,0.0,3.0,2.0,28.0
109,7,14.0,0.0,1.0,28.0,0.0,6,1,1,0,0,0,0,63.5063,58.6,72.05,1.0,4.0,2.0,30.0
110,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,63.1,58.25,71.55,0.0,4.0,0.0,30.0
111,6,13.0,0.0,1.0,29.0,0.0,7,1,0,0,0,0,0,62.675,57.9,71.05,0.0,4.0,0.0,30.0
112,5,13.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,62.2313,57.4,70.55,0.0,4.0,0.0,30.0
113,5,13.0,0.0,0.0,29.0,0.0,7,0,1,0,0,0,0,61.8313,56.9,70.05,0.0,4.0,1.0,31.0
114,5,13.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,61.3688,56.4,69.55,0.0,4.0,0.0,31.0
115,8,16.0,3.0,0.0,29.0,0.0,6,0,2,0,0,0,0,61.0125,55.9,69.05,0.0,4.0,2.0,33.0
116,8,16.0,0.0,0.0,29.0,0.0,7,0,1,0,0,0,0,60.6563,55.4,68.55,1.0,5.0,2.0,35.0
117,8,15.0,0.0,1.0,30.0,0.0,7,1,0,0,0,0,0,60.1938,54.9,68.05,0.0,5.0,0.0,35.0
118,7,15.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,59.75,54.4,67.55,0.0,5.0,0.0,35.0
119,7,15.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,59.2875,53.9,67.05,0.0,5.0,0.0,35.0
120,7,14.0,0.0,1.0,31.0,0.0,7,1,0,0,0,0,0,58.825,53.4,66.55,0.0,5.0,0.0,35.0
121,7,14.0,1.0,1.0,32.0,0.0,7,1,0,0,0,0,0,58.3813,52.9,66.05,0.0,5.0,0.0,35.0
122,6,14.0,0.0,0.0,32.0,0.0,8,0,0,0,0,0,0,57.9375,52.4,65.7,0.0,5.0,0.0,35.0
123,7,15.0,1.0,0.0,32.0,0.0,6,0,2,0,0,0,0,57.6188,51.9,65.35,0.0,5.0,2.0,37.0
124,7,13.0,0.0,2.0,34.0,0.0,5,2,1,0,0,0,0,57.3,51.4,65.0,1.0,6.0,2.0,39.0
125,6,14.0,1.0,0.0,34.0,0.0,8,0,0,0,0,0,0,56.8938,51.05,64.65,0.0,6.0,0.0,39.0
126,6,14.0,0.0,0.0,34.0,0.0,7,0,1,0,0,0,0,56.55,50.7,64.3,0.0,6.0,1.0,40.0
127,7,15.0,1.0,0.0,34.0,0.0,8,0,0,0,0,0,0,56.125,50.35,63.95,0.0,6.0,0.0,40.0
128,7,14.0,0.0,1.0,35.0,0.0,6,1,1,0,0,0,0,55.7625,50.0,63.6,0.0,6.0,1.0,41.0
129,6,14.0,0.0,0.0,35.0,0.0,6,0,2,0,0,0,0,55.4625,50.0,63.25,0.0,6.0,2.0,43.0
130,6,14.0,0.0,0.0,35.0,0.0,7,0,1,0,0,0,0,55.1625,50.0,62.9,1.0,7.0,2.0,45.0
131,7,15.0,1.0,0.0,35.0,0.0,8,0,0,0,0,0,0,54.7563,49.65,62.55,0.0,7.0,0.0,45.0
132,7,15.0,0.0,0.0,35.0,0.0,8,0,0,0,0,0,0,54.3313,49.3,62.05,0.0,7.0,0.0,45.0
133,7,15.0,0.0,0.0,35.0,0.0,8,0,0,0,0,0,0,53.9063,48.95,61.55,0.0,7.0,0.0,45.0
134,7,14.0,0.0,1.0,36.0,0.0,7,1,0,0,0,0,0,53.4813,48.6,61.05,0.0,7.0,0.0,45.0
135,8,16.0,2.0,0.0,36.0,0.0,8,0,0,0,0,0,0,53.075,48.25,60.55,0.0,7.0,0.0,45.0
136,8,16.0,0.0,0.0,36.0,0.0,8,0,0,0,0,0,0,52.6688,47.9,60.05,0.0,7.0,0.0,45.0
137,8,16.0,0.0,0.0,36.0,0.0,7,0,1,0,0,0,0,52.3063,47.55,59.55,0.0,7.0,1.0,46.0
138,8,16.0,0.0,0.0,36.0,0.0,8,0,0,0,0,0,0,51.8813,47.2,59.05,0.0,7.0,0.0,46.0
139,10,18.0,2.0,0.0,36.0,0.0,8,0,0,0,0,0,0,51.4563,46.85,58.55,0.0,7.0,0.0,46.0
140,10,16.0,0.0,2.0,38.0,0.0,6,2,0,0,0,0,0,51.0313,46.5,58.05,0.0,7.0,0.0,46.0
141,8,16.0,0.0,0.0,38.0,0.0,7,0,1,0,0,0,0,50.7063,46.15,57.7,0.0,7.0,1.0,47.0
142,8,16.0,0.0,0.0,38.0,0.0,8,0,0,0,0,0,0,50.3,45.8,57.35,0.0,7.0,0.0,47.0
143,8,15.0,0.0,1.0,39.0,0.0,7,1,0,0,0,0,0,49.8938,45.45,57.0,0.0,7.0,0.0,47.0
144,7,15.0,0.0,0.0,39.0,0.0,7,0,1,0,0,0,0,49.55,45.1,56.65,0.0,7.0,1.0,48.0
145,8,16.0,1.0,0.0,39.0,0.0,8,0,0,0,0,0,0,49.1625,44.75,56.3,0.0,7.0,0.0,48.0
146,8,16.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,48.7375,44.4,55.95,0.0,7.0,0.0,48.0
147,9,17.0,1.0,0.0,39.0,0.0,8,0,0,0,0,0,0,48.2938,43.9,55.6,0.0,7.0,0.0,48.0
148,9,17.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,47.85,43.4,55.25,0.0,7.0,0.0,48.0
149,10,18.0,1.0,0.0,39.0,0.0,8,0,0,0,0,0,0,47.4063,42.9,54.9,0.0,7.0,0.0,48.0
150,10,18.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,46.9625,42.4,54.55,0.0,7.0,0.0,48.0
151,11,19.0,1.0,0.0,39.0,0.0,8,0,0,0,0,0,0,46.5188,41.9,54.2,0.0,7.0,0.0,48.0
152,11,19.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,46.075,41.4,53.85,0.0,7.0,0.0,48.0
153,11,19.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,45.6125,40.9,53.5,0.0,7.0,0.0,48.0
154,11,19.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,45.1313,40.4,53.15,0.0,7.0,0.0,48.0
155,13,20.0,2.0,1.0,40.0,0.0,7,1,0,0,0,0,0,44.65,39.9,52.8,0.0,7.0,0.0,48.0
156,12,19.0,0.0,1.0,41.0,0.0,7,1,0,0,0,0,0,44.1875,39.4,52.45,0.0,7.0,0.0,48.0
157,11,19.0,0.0,0.0,41.0,0.0,7,0,1,0,0,0,0,43.8063,39.4,52.1,0.0,7.0,1.0,49.0
158,11,19.0,0.0,0.0,41.0,0.0,8,0,0,0,0,0,0,43.3625,38.9,51.75,0.0,7.0,0.0,49.0
159,11,17.0,0.0,2.0,43.0,0.0,6,2,0,0,0,0,0,42.9188,38.4,51.4,0.0,7.0,0.0,49.0
160,9,17.0,0.0,0.0,43.0,0.0,8,0,0,0,0,0,0,42.5125,37.9,51.05,0.0,7.0,0.0,49.0
161,9,15.0,0.0,2.0,45.0,0.0,6,2,0,0,0,0,0,42.0875,37.4,50.55,0.0,7.0,0.0,49.0
162,7,14.0,0.0,1.0,46.0,0.0,7,1,0,0,0,0,0,41.7,37.05,50.05,0.0,7.0,0.0,49.0
163,9,17.0,3.0,0.0,46.0,0.0,8,0,0,0,0,0,0,41.3125,36.7,49.55,0.0,7.0,0.0,49.0
164,9,17.0,0.0,0.0,46.0,0.0,8,0,0,0,0,0,0,40.925,36.35,49.05,0.0,7.0,0.0,49.0
165,10,18.0,1.0,0.0,46.0,0.0,8,0,0,0,0,0,0,40.5375,36.0,48.55,0.0,7.0,0.0,49.0
166,10,18.0,0.0,0.0,46.0,0.0,6,0,2,0,0,0,0,40.2563,35.65,48.05,0.0,7.0,2.0,51.0
167,10,18.0,0.0,0.0,46.0,0.0,7,0,1,0,0,0,0,39.975,35.3,47.55,1.0,8.0,2.0,53.0
168,10,18.0,0.0,0.0,46.0,0.0,8,0,0,0,0,0,0,39.5875,34.95,47.05,0.0,8.0,0.0,53.0
169,10,17.0,0.0,1.0,47.0,0.0,6,1,1,0,0,0,0,39.2438,34.6,46.55,0.0,8.0,1.0,54.0
170,9,17.0,0.0,0.0,47.0,0.0,8,0,0,0,0,0,0,38.8563,34.1,46.2,0.0,8.0,0.0,54.0
171,10,17.0,1.0,1.0,48.0,0.0,7,1,0,0,0,0,0,38.4688,33.6,45.85,0.0,8.0,0.0,54.0
172,9,17.0,0.0,0.0,48.0,0.0,8,0,0,0,0,0,0,38.0813,33.1,45.5,0.0,8.0,0.0,54.0
173,9,17.0,0.0,0.0,48.0,0.0,8,0,0,0,0,0,0,37.675,32.6,45.15,0.0,8.0,0.0,54.0
174,9,17.0,0.0,0.0,48.0,0.0,7,0,1,0,0,0,0,37.2938,32.1,45.15,0.0,8.0,1.0,55.0
175,11,19.0,2.0,0.0,48.0,0.0,7,0,1,0,0,0,0,36.975,31.6,45.15,1.0,9.0,2.0,57.0
176,11,19.0,0.0,0.0,48.0,0.0,8,0,0,0,0,0,0,36.55,31.1,44.8,0.0,9.0,0.0,57.0
177,12,20.0,1.0,0.0,48.0,0.0,8,0,0,0,0,0,0,36.1063,30.6,44.45,0.0,9.0,0.0,57.0
178,12,20.0,0.0,0.0,48.0,0.0,8,0,0,0,0,0,0,35.6625,30.1,44.1,0.0,9.0,0.0,57.0
179,13,21.0,1.0,0.0,48.0,0.0,8,0,0,0,0,0,0,35.2188,29.6,43.75,0.0,9.0,0.0,57.0
180,13,20.0,0.0,1.0,49.0,0.0,7,1,0,0,0,0,0,34.7563,29.1,43.4,0.0,9.0,0.0,57.0
181,12,19.0,0.0,1.0,50.0,0.0,5,1,2,0,0,0,0,34.4,28.6,42.9,0.0,9.0,2.0,59.0
182,11,19.0,0.0,0.0,50.0,0.0,7,0,1,0,0,0,0,34.0438,28.1,42.4,1.0,10.0,2.0,61.0
183,11,18.0,0.0,1.0,51.0,0.0,7,1,0,0,0,0,0,33.5813,27.6,41.9,0.0,10.0,0.0,61.0
184,10,18.0,0.0,0.0,51.0,0.0,8,0,0,0,0,0,0,33.1375,27.25,41.4,0.0,10.0,0.0,61.0
185,11,19.0,1.0,0.0,51.0,0.0,6,0,2,0,0,0,0,32.8,26.9,40.9,0.0,10.0,2.0,63.0
186,11,19.0,0.0,0.0,51.0,0.0,7,0,1,0,0,0,0,32.4625,26.55,40.4,1.0,11.0,2.0,65.0
187,13,21.0,2.0,0.0,51.0,0.0,7,0,1,0,0,0,0,32.0813,26.2,39.9,0.0,11.0,1.0,66.0
188,13,20.0,0.0,1.0,52.0,0.0,7,1,0,0,0,0,0,31.6375,25.85,39.4,0.0,11.0,0.0,66.0
189,12,19.0,0.0,1.0,53.0,0.0,7,1,0,0,0,0,0,31.2125,25.5,38.9,0.0,11.0,0.0,66.0
190,11,19.0,0.0,0.0,53.0,0.0,7,0,1,0,0,0,0,30.8688,25.15,38.9,0.0,11.0,1.0,67.0
191,12,20.0,1.0,0.0,53.0,0.0,8,0,0,0,0,0,0,30.4625,24.8,38.4,0.0,11.0,0.0,67.0
192,12,19.0,0.0,1.0,54.0,0.0,7,1,0,0,0,0,0,30.0375,24.45,37.9,0.0,11.0,0.0,67.0
193,11,18.0,0.0,1.0,55.0,0.0,7,1,0,0,0,0,0,29.6313,24.1,37.55,0.0,11.0,0.0,67.0
194,10,18.0,0.0,0.0,55.0,0.0,8,0,0,0,0,0,0,29.225,23.6,37.2,0.0,11.0,0.0,67.0
195,12,20.0,2.0,0.0,55.0,0.0,8,0,0,0,0,0,0,28.8188,23.1,36.85,0.0,11.0,0.0,67.0
196,12,20.0,0.0,0.0,55.0,0.0,8,0,0,0,0,0,0,28.4125,22.6,36.5,0.0,11.0,0.0,67.0
197,12,20.0,0.0,0.0,55.0,0.0,6,0,2,0,0,0,0,28.1125,22.6,36.5,0.0,11.0,2.0,69.0
198,12,20.0,0.0,0.0,55.0,0.0,7,0,1,0,0,0,0,27.7938,22.6,36.5,1.0,12.0,2.0,71.0
199,13,21.0,1.0,0.0,55.0,0.0,8,0,0,0,0,0,0,27.3313,22.1,36.15,0.0,12.0,0.0,71.0
200,13,20.0,0.0,1.0,56.0,0.0,6,1,1,0,0,0,0,26.9313,22.1,35.8,0.0,12.0,1.0,72.0
201,12,20.0,0.0,0.0,56.0,0.0,8,0,0,0,0,0,0,26.4875,21.6,35.45,0.0,12.0,0.0,72.0
202,12,20.0,0.0,0.0,56.0,0.0,8,0,0,0,0,0,0,26.0438,21.1,35.1,0.0,12.0,0.0,72.0
203,13,20.0,1.0,1.0,57.0,0.0,7,1,0,0,0,0,0,25.6,20.6,34.75,0.0,12.0,0.0,72.0
204,12,20.0,0.0,0.0,57.0,0.0,8,0,0,0,0,0,0,25.1563,20.1,34.4,0.0,12.0,0.0,72.0
205,14,22.0,2.0,0.0,57.0,0.0,8,0,0,0,0,0,0,24.7125,19.6,34.05,0.0,12.0,0.0,72.0
206,14,20.0,0.0,2.0,59.0,0.0,5,2,1,0,0,0,0,24.3313,19.1,33.7,0.0,12.0,1.0,73.0
207,12,20.0,0.0,0.0,59.0,0.0,6,0,2,0,0,0,0,24.075,18.75,33.2,1.0,13.0,3.0,76.0
