tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7188,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.5688,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4,97.75,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.1875,97.25,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,98.975,96.75,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.7188,96.25,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.4438,95.75,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,1.0,1.0,0.0,4,4,0,0,0,0,0,98.15,95.25,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,1.0,2.0,0.0,3,5,0,0,0,0,0,97.9188,95.15,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,4,4,0,0,0,0,0,97.7063,94.65,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,4,0,0,0,0,0,97.4938,94.15,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,4,0,0,0,0,0,97.2813,93.65,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,4,0,0,0,0,0,97.0688,93.15,100.0,0.0,0.0,0.0,0.0
19,0,4.0,2.0,2.0,4.0,0.0,4,4,0,0,0,0,0,96.7688,92.65,100.0,0.0,0.0,0.0,0.0
20,0,4.0,0.0,0.0,4.0,0.0,4,4,0,0,0,0,0,96.5938,92.65,100.0,0.0,0.0,0.0,0.0
21,0,4.0,0.0,0.0,4.0,0.0,4,4,0,0,0,0,0,96.4188,92.65,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,0.0,4.0,0.0,4,4,0,0,0,0,0,96.2438,92.65,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,3,0,0,0,0,0,96.025,92.65,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,3,0,0,0,0,0,95.8063,92.65,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,2,0,0,0,0,0,95.525,92.65,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,2,0,0,0,0,0,95.2438,92.15,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,1,0,0,0,0,0,94.9,91.65,100.0,0.0,0.0,0.0,0.0
28,0,7.0,0.0,0.0,4.0,0.0,7,1,0,0,0,0,0,94.5375,91.15,100.0,0.0,0.0,0.0,0.0
29,0,7.0,0.0,0.0,4.0,0.0,7,1,0,0,0,0,0,94.175,90.65,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,1.0,5.0,0.0,6,2,0,0,0,0,0,93.8125,90.15,100.0,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,7,1,0,0,0,0,0,93.4688,89.65,100.0,0.0,0.0,0.0,0.0
32,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,93.0875,89.15,100.0,0.0,0.0,0.0,0.0
33,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.7063,88.65,100.0,0.0,0.0,0.0,0.0
34,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.325,88.15,100.0,0.0,0.0,0.0,0.0
35,1,9.0,2.0,0.0,5.0,0.0,8,0,0,0,0,0,0,91.9,87.65,99.65,0.0,0.0,0.0,0.0
36,1,9.0,0.0,0.0,5.0,0.0,8,0,0,0,0,0,0,91.475,87.15,99.3,0.0,0.0,0.0,0.0
37,2,9.0,1.0,1.0,6.0,0.0,7,1,0,0,0,0,0,91.05,86.65,98.95,0.0,0.0,0.0,0.0
38,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,90.6438,86.15,98.6,0.0,0.0,0.0,0.0
39,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,90.3,85.65,98.25,0.0,0.0,1.0,1.0
40,1,9.0,0.0,0.0,6.0,0.0,6,0,2,0,0,0,0,90.0188,85.65,97.9,0.0,0.0,2.0,3.0
41,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,89.7375,85.65,97.55,1.0,1.0,2.0,5.0
42,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,89.375,85.15,97.2,0.0,1.0,1.0,6.0
43,3,11.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,88.9938,84.65,96.85,1.0,2.0,1.0,7.0
44,3,11.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,88.5313,84.15,96.5,0.0,2.0,0.0,7.0
45,4,12.0,1.0,0.0,6.0,0.0,7,0,1,0,0,0,0,88.1313,83.65,96.15,0.0,2.0,1.0,8.0
46,4,11.0,0.0,1.0,7.0,0.0,7,1,0,0,0,0,0,87.6688,83.15,95.8,0.0,2.0,0.0,8.0
47,3,11.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,87.225,82.65,95.45,0.0,2.0,0.0,8.0
48,3,11.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,86.7813,82.15,95.1,0.0,2.0,0.0,8.0
49,3,11.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,86.3375,81.65,94.75,0.0,2.0,0.0,8.0
50,3,11.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,85.8938,81.15,94.4,0.0,2.0,0.0,8.0
51,5,13.0,2.0,0.0,7.0,0.0,7,0,1,0,0,0,0,85.5125,80.65,94.05,0.0,2.0,1.0,9.0
52,5,13.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,85.0688,80.15,93.7,0.0,2.0,0.0,9.0
53,5,12.0,0.0,1.0,8.0,0.0,7,1,0,0,0,0,0,84.625,79.65,93.35,0.0,2.0,0.0,9.0
54,4,12.0,0.0,0.0,8.0,0.0,7,0,1,0,0,0,0,84.2438,79.15,93.0,0.0,2.0,1.0,10.0
55,6,13.0,2.0,1.0,9.0,0.0,6,1,1,0,0,0,0,83.925,78.65,92.65,1.0,3.0,2.0,12.0
56,5,11.0,0.0,2.0,11.0,0.0,6,2,0,0,0,0,0,83.5,78.3,92.15,0.0,3.0,0.0,12.0
57,3,10.0,0.0,1.0,12.0,0.0,6,1,1,0,0,0,0,83.1188,77.95,91.65,0.0,3.0,1.0,13.0
58,2,10.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,82.6938,77.6,91.15,0.0,3.0,0.0,13.0
59,3,11.0,1.0,0.0,12.0,0.0,8,0,0,0,0,0,0,82.2688,77.25,90.65,0.0,3.0,0.0,13.0
60,3,11.0,0.0,0.0,12.0,0.0,7,0,1,0,0,0,0,81.8875,76.9,90.15,0.0,3.0,1.0,14.0
61,3,11.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,81.4438,76.4,89.65,0.0,3.0,0.0,14.0
62,3,10.0,0.0,1.0,13.0,0.0,7,1,0,0,0,0,0,81.0,75.9,89.15,0.0,3.0,0.0,14.0
63,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,80.575,75.4,88.65,0.0,3.0,0.0,14.0
64,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,80.15,74.9,88.15,0.0,3.0,0.0,14.0
65,4,12.0,2.0,0.0,13.0,0.0,7,0,1,0,0,0,0,79.7875,74.4,88.15,0.0,3.0,1.0,15.0
66,4,12.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,79.3438,73.9,87.65,0.0,3.0,0.0,15.0
67,6,12.0,2.0,2.0,15.0,0.0,6,2,0,0,0,0,0,78.9,73.4,87.15,0.0,3.0,0.0,15.0
68,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,78.4938,73.05,86.65,0.0,3.0,0.0,15.0
69,4,11.0,0.0,1.0,16.0,0.0,7,1,0,0,0,0,0,78.0875,72.7,86.15,0.0,3.0,0.0,15.0
70,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,77.6813,72.35,85.65,0.0,3.0,0.0,15.0
71,3,11.0,0.0,0.0,16.0,0.0,6,0,2,0,0,0,0,77.4,72.0,85.65,0.0,3.0,2.0,17.0
72,3,11.0,0.0,0.0,16.0,0.0,7,0,1,0,0,0,0,77.1188,71.65,85.65,1.0,4.0,2.0,19.0
73,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.775,71.3,85.15,1.0,5.0,1.0,20.0
74,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.35,70.95,84.65,0.0,5.0,0.0,20.0
75,5,13.0,2.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.925,70.6,84.15,0.0,5.0,0.0,20.0
76,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.5,70.25,83.65,0.0,5.0,0.0,20.0
77,5,12.0,0.0,1.0,17.0,0.0,7,1,0,0,0,0,0,75.075,69.9,83.15,0.0,5.0,0.0,20.0
78,4,12.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.6688,69.55,82.65,0.0,5.0,0.0,20.0
79,6,14.0,2.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.2438,69.2,82.15,0.0,5.0,0.0,20.0
80,6,14.0,0.0,0.0,17.0,0.0,6,0,2,0,0,0,0,73.9063,68.7,81.65,0.0,5.0,2.0,22.0
81,6,14.0,0.0,0.0,17.0,0.0,6,0,2,0,0,0,0,73.6125,68.2,81.15,1.0,6.0,3.0,25.0
82,6,14.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,73.2313,67.7,80.65,1.0,7.0,1.0,26.0
83,7,15.0,1.0,0.0,17.0,0.0,8,0,0,0,0,0,0,72.7875,67.2,80.15,0.0,7.0,0.0,26.0
84,7,15.0,0.0,0.0,17.0,0.0,7,0,1,0,0,0,0,72.3875,66.7,79.65,0.0,7.0,1.0,27.0
85,8,14.0,1.0,2.0,19.0,0.0,6,2,0,0,0,0,0,71.9438,66.2,79.15,0.0,7.0,0.0,27.0
86,6,14.0,0.0,0.0,19.0,0.0,7,0,1,0,0,0,0,71.6,65.85,79.15,0.0,7.0,1.0,28.0
87,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,71.1938,65.5,78.65,0.0,7.0,0.0,28.0
88,6,13.0,0.0,1.0,20.0,0.0,7,1,0,0,0,0,0,70.7688,65.15,78.15,0.0,7.0,0.0,28.0
89,5,13.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,70.3438,64.8,77.8,0.0,7.0,0.0,28.0
90,5,13.0,0.0,0.0,20.0,0.0,6,0,2,0,0,0,0,70.025,64.45,77.45,0.0,7.0,2.0,30.0
91,7,15.0,2.0,0.0,20.0,0.0,7,0,1,0,0,0,0,69.7063,64.1,77.1,1.0,8.0,2.0,32.0
92,7,15.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,69.2625,63.75,76.75,0.0,8.0,0.0,32.0
93,8,16.0,1.0,0.0,20.0,0.0,8,0,0,0,0,0,0,68.8188,63.4,76.4,0.0,8.0,0.0,32.0
94,8,16.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,68.375,63.05,76.05,0.0,8.0,0.0,32.0
95,9,15.0,1.0,2.0,22.0,0.0,4,2,2,0,0,0,0,68.0188,62.7,75.55,0.0,8.0,2.0,34.0
96,7,15.0,0.0,0.0,22.0,0.0,7,0,1,0,0,0,0,67.7,62.35,75.05,1.0,9.0,2.0,36.0
97,7,13.0,0.0,2.0,24.0,0.0,6,2,0,0,0,0,0,67.275,62.0,74.55,0.0,9.0,0.0,36.0
98,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,66.8875,61.65,74.05,0.0,9.0,0.0,36.0
99,6,14.0,1.0,0.0,24.0,0.0,8,0,0,0,0,0,0,66.5,61.3,73.55,0.0,9.0,0.0,36.0
100,6,14.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,66.1125,60.95,73.05,0.0,9.0,0.0,36.0
101,6,14.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,65.6875,60.45,72.55,0.0,9.0,0.0,36.0
102,6,13.0,0.0,1.0,25.0,0.0,7,1,0,0,0,0,0,65.2625,59.95,72.05,0.0,9.0,0.0,36.0
103,6,14.0,1.0,0.0,25.0,0.0,7,0,1,0,0,0,0,64.9,59.45,71.7,0.0,9.0,1.0,37.0
104,6,13.0,0.0,1.0,26.0,0.0,7,1,0,0,0,0,0,64.475,58.95,71.35,0.0,9.0,0.0,37.0
105,6,14.0,1.0,0.0,26.0,0.0,5,0,3,0,0,0,0,64.2,58.45,71.0,0.0,9.0,3.0,40.0
106,6,14.0,0.0,0.0,26.0,0.0,6,0,2,0,0,0,0,63.9875,58.45,70.65,2.0,11.0,4.0,44.0
107,8,16.0,2.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.5813,57.95,70.3,0.0,11.0,0.0,44.0
108,8,16.0,0.0,0.0,26.0,0.0,7,0,1,0,0,0,0,63.2,57.95,69.95,0.0,11.0,1.0,45.0
109,8,15.0,0.0,1.0,27.0,0.0,5,1,2,0,0,0,0,62.8625,57.45,69.95,0.0,11.0,2.0,47.0
110,7,15.0,0.0,0.0,27.0,0.0,7,0,1,0,0,0,0,62.5438,56.95,69.95,1.0,12.0,2.0,49.0
111,7,15.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,62.1188,56.45,69.6,0.0,12.0,0.0,49.0
112,7,15.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,61.6938,55.95,69.25,0.0,12.0,0.0,49.0
113,7,14.0,0.0,1.0,28.0,0.0,5,1,2,0,0,0,0,61.3563,55.45,68.9,0.0,12.0,2.0,51.0
114,6,14.0,0.0,0.0,28.0,0.0,7,0,1,0,0,0,0,61.0375,54.95,68.55,1.0,13.0,2.0,53.0
115,9,16.0,3.0,1.0,29.0,0.0,7,1,0,0,0,0,0,60.6313,54.45,68.2,0.0,13.0,0.0,53.0
116,8,15.0,0.0,1.0,30.0,0.0,7,1,0,0,0,0,0,60.2438,53.95,67.85,0.0,13.0,0.0,53.0
117,7,15.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,59.875,53.45,67.5,0.0,13.0,0.0,53.0
118,7,15.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,59.5063,52.95,67.15,0.0,13.0,0.0,53.0
119,7,15.0,0.0,0.0,30.0,0.0,6,0,2,0,0,0,0,59.225,52.45,66.8,0.0,13.0,2.0,55.0
120,7,15.0,0.0,0.0,30.0,0.0,7,0,1,0,0,0,0,58.925,51.95,66.45,1.0,14.0,2.0,57.0
121,8,16.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,58.5375,51.45,66.1,0.0,14.0,0.0,57.0
122,8,16.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,58.15,50.95,65.75,0.0,14.0,0.0,57.0
123,9,17.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.7625,50.45,65.4,0.0,14.0,0.0,57.0
124,9,17.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.375,49.95,65.05,0.0,14.0,0.0,57.0
125,10,17.0,1.0,1.0,31.0,0.0,7,1,0,0,0,0,0,56.9688,49.45,64.7,0.0,14.0,0.0,57.0
126,9,17.0,0.0,0.0,31.0,0.0,7,0,1,0,0,0,0,56.6438,49.1,64.35,0.0,14.0,1.0,58.0
127,10,18.0,1.0,0.0,31.0,0.0,7,0,1,0,0,0,0,56.3625,48.75,64.0,1.0,15.0,2.0,60.0
128,10,18.0,0.0,0.0,31.0,0.0,8,0,0,0,0,0,0,55.975,48.4,63.65,0.0,15.0,0.0,60.0
129,10,18.0,0.0,0.0,31.0,0.0,7,0,1,0,0,0,0,55.6125,48.05,63.15,0.0,15.0,1.0,61.0
130,10,17.0,0.0,1.0,32.0,0.0,7,1,0,0,0,0,0,55.1875,47.7,62.65,0.0,15.0,0.0,61.0
131,10,18.0,1.0,0.0,32.0,0.0,8,0,0,0,0,0,0,54.7625,47.35,62.15,0.0,15.0,0.0,61.0
132,10,18.0,0.0,0.0,32.0,0.0,7,0,1,0,0,0,0,54.4,47.0,61.65,0.0,15.0,1.0,62.0
133,10,18.0,0.0,0.0,32.0,0.0,6,0,2,0,0,0,0,54.0625,47.0,61.15,0.0,15.0,2.0,64.0
134,10,18.0,0.0,0.0,32.0,0.0,7,0,1,0,0,0,0,53.725,47.0,60.65,1.0,16.0,2.0,66.0
135,12,20.0,2.0,0.0,32.0,0.0,7,0,1,0,0,0,0,53.3438,46.65,60.65,0.0,16.0,1.0,67.0
136,12,20.0,0.0,0.0,32.0,0.0,8,0,0,0,0,0,0,52.9,46.3,60.15,0.0,16.0,0.0,67.0
137,12,20.0,0.0,0.0,32.0,0.0,8,0,0,0,0,0,0,52.4563,45.95,59.65,0.0,16.0,0.0,67.0
138,12,20.0,0.0,0.0,32.0,0.0,6,0,2,0,0,0,0,52.1188,45.6,59.65,0.0,16.0,2.0,69.0
139,14,21.0,2.0,1.0,33.0,0.0,6,1,1,0,0,0,0,51.7625,45.25,59.65,1.0,17.0,2.0,71.0
140,13,21.0,0.0,0.0,33.0,0.0,8,0,0,0,0,0,0,51.3188,44.9,59.15,0.0,17.0,0.0,71.0
141,13,21.0,0.0,0.0,33.0,0.0,8,0,0,0,0,0,0,50.875,44.55,58.65,0.0,17.0,0.0,71.0
142,13,21.0,0.0,0.0,33.0,0.0,8,0,0,0,0,0,0,50.4313,44.2,58.15,0.0,17.0,0.0,71.0
143,13,20.0,0.0,1.0,34.0,0.0,7,1,0,0,0,0,0,49.9875,43.85,57.65,0.0,17.0,0.0,71.0
144,12,19.0,0.0,1.0,35.0,0.0,7,1,0,0,0,0,0,49.5625,43.5,57.15,0.0,17.0,0.0,71.0
145,12,20.0,1.0,0.0,35.0,0.0,8,0,0,0,0,0,0,49.1563,43.15,56.65,0.0,17.0,0.0,71.0
146,12,20.0,0.0,0.0,35.0,0.0,8,0,0,0,0,0,0,48.7313,42.8,56.15,0.0,17.0,0.0,71.0
147,13,21.0,1.0,0.0,35.0,0.0,8,0,0,0,0,0,0,48.3063,42.45,55.65,0.0,17.0,0.0,71.0
148,13,21.0,0.0,0.0,35.0,0.0,8,0,0,0,0,0,0,47.8813,42.1,55.15,0.0,17.0,0.0,71.0
149,14,22.0,1.0,0.0,35.0,0.0,8,0,0,0,0,0,0,47.4563,41.75,54.65,0.0,17.0,0.0,71.0
150,14,22.0,0.0,0.0,35.0,0.0,6,0,2,0,0,0,0,47.1563,41.4,54.15,0.0,17.0,2.0,73.0
151,15,22.0,1.0,1.0,36.0,0.0,6,1,1,0,0,0,0,46.8375,41.05,53.65,1.0,18.0,2.0,75.0
152,14,22.0,0.0,0.0,36.0,0.0,8,0,0,0,0,0,0,46.4125,40.7,53.3,0.0,18.0,0.0,75.0
153,14,21.0,0.0,1.0,37.0,0.0,7,1,0,0,0,0,0,45.9875,40.35,52.95,0.0,18.0,0.0,75.0
154,13,21.0,0.0,0.0,37.0,0.0,6,0,2,0,0,0,0,45.6875,40.0,52.6,0.0,18.0,2.0,77.0
155,15,23.0,2.0,0.0,37.0,0.0,7,0,1,0,0,0,0,45.3875,39.65,52.25,1.0,19.0,2.0,79.0
156,15,23.0,0.0,0.0,37.0,0.0,7,0,1,0,0,0,0,45.025,39.65,51.9,0.0,19.0,1.0,80.0
157,15,23.0,0.0,0.0,37.0,0.0,8,0,0,0,0,0,0,44.6188,39.3,51.55,0.0,19.0,0.0,80.0
158,15,22.0,0.0,1.0,38.0,0.0,7,1,0,0,0,0,0,44.2125,38.9,51.2,0.0,19.0,0.0,80.0
159,14,22.0,0.0,0.0,38.0,0.0,8,0,0,0,0,0,0,43.825,38.4,50.85,0.0,19.0,0.0,80.0
160,14,22.0,0.0,0.0,38.0,0.0,8,0,0,0,0,0,0,43.4188,37.9,50.5,0.0,19.0,0.0,80.0
161,14,22.0,0.0,0.0,38.0,0.0,8,0,0,0,0,0,0,43.0125,37.4,50.15,0.0,19.0,0.0,80.0
162,14,22.0,0.0,0.0,38.0,0.0,6,0,2,0,0,0,0,42.6938,36.9,50.15,0.0,19.0,2.0,82.0
163,17,24.0,3.0,1.0,39.0,0.0,6,1,1,0,0,0,0,42.3563,36.4,50.15,1.0,20.0,2.0,84.0
164,16,24.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,41.9313,36.05,49.8,0.0,20.0,0.0,84.0
165,17,25.0,1.0,0.0,39.0,0.0,8,0,0,0,0,0,0,41.5063,35.6,49.45,0.0,20.0,0.0,84.0
166,17,25.0,0.0,0.0,39.0,0.0,8,0,0,0,0,0,0,41.0813,35.1,49.1,0.0,20.0,0.0,84.0
167,17,24.0,0.0,1.0,40.0,0.0,6,1,1,0,0,0,0,40.7188,34.6,48.75,0.0,20.0,1.0,85.0
168,16,24.0,0.0,0.0,40.0,0.0,8,0,0,0,0,0,0,40.2938,34.1,48.4,0.0,20.0,0.0,85.0
169,16,24.0,0.0,0.0,40.0,0.0,8,0,0,0,0,0,0,39.8688,33.6,48.05,0.0,20.0,0.0,85.0
170,16,24.0,0.0,0.0,40.0,0.0,8,0,0,0,0,0,0,39.4438,33.1,47.7,0.0,20.0,0.0,85.0
171,17,24.0,1.0,1.0,41.0,0.0,7,1,0,0,0,0,0,39.0,32.6,47.35,0.0,20.0,0.0,85.0
172,16,23.0,0.0,1.0,42.0,0.0,7,1,0,0,0,0,0,38.575,32.1,47.0,0.0,20.0,0.0,85.0
173,15,23.0,0.0,0.0,42.0,0.0,8,0,0,0,0,0,0,38.1688,31.75,46.65,0.0,20.0,0.0,85.0
174,15,23.0,0.0,0.0,42.0,0.0,8,0,0,0,0,0,0,37.7625,31.4,46.3,0.0,20.0,0.0,85.0
175,17,25.0,2.0,0.0,42.0,0.0,7,0,1,0,0,0,0,37.4,31.05,45.95,0.0,20.0,1.0,86.0
176,17,25.0,0.0,0.0,42.0,0.0,7,0,1,0,0,0,0,37.0375,30.7,45.95,0.0,20.0,1.0,87.0
177,18,26.0,1.0,0.0,42.0,0.0,8,0,0,0,0,0,0,36.6313,30.35,45.6,0.0,20.0,0.0,87.0
178,18,26.0,0.0,0.0,42.0,0.0,8,0,0,0,0,0,0,36.225,30.0,45.25,0.0,20.0,0.0,87.0
179,19,26.0,1.0,1.0,43.0,0.0,7,1,0,0,0,0,0,35.8188,29.65,44.9,0.0,20.0,0.0,87.0
180,18,25.0,0.0,1.0,44.0,0.0,7,1,0,0,0,0,0,35.4313,29.3,44.55,0.0,20.0,0.0,87.0
181,17,24.0,0.0,1.0,45.0,0.0,7,1,0,0,0,0,0,35.0625,28.95,44.2,0.0,20.0,0.0,87.0
182,16,24.0,0.0,0.0,45.0,0.0,8,0,0,0,0,0,0,34.7125,28.6,43.85,0.0,20.0,0.0,87.0
183,16,24.0,0.0,0.0,45.0,0.0,8,0,0,0,0,0,0,34.3438,28.25,43.5,0.0,20.0,0.0,87.0
184,16,24.0,0.0,0.0,45.0,0.0,8,0,0,0,0,0,0,33.975,27.9,43.15,0.0,20.0,0.0,87.0
185,17,25.0,1.0,0.0,45.0,0.0,7,0,1,0,0,0,0,33.65,27.55,42.8,0.0,20.0,1.0,88.0
186,17,25.0,0.0,0.0,45.0,0.0,7,0,1,0,0,0,0,33.3688,27.2,42.8,1.0,21.0,2.0,90.0
187,19,27.0,2.0,0.0,45.0,0.0,8,0,0,0,0,0,0,32.9813,26.85,42.45,0.0,21.0,0.0,90.0
188,19,27.0,0.0,0.0,45.0,0.0,8,0,0,0,0,0,0,32.575,26.5,41.95,0.0,21.0,0.0,90.0
189,19,27.0,0.0,0.0,45.0,0.0,8,0,0,0,0,0,0,32.15,26.0,41.45,0.0,21.0,0.0,90.0
190,19,27.0,0.0,0.0,45.0,0.0,6,0,2,0,0,0,0,31.85,25.5,40.95,0.0,21.0,2.0,92.0
191,20,28.0,1.0,0.0,45.0,0.0,7,0,1,0,0,0,0,31.4938,25.0,40.45,1.0,22.0,2.0,94.0
192,20,28.0,0.0,0.0,45.0,0.0,8,0,0,0,0,0,0,31.0125,24.5,39.95,0.0,22.0,0.0,94.0
193,20,28.0,0.0,0.0,45.0,0.0,6,0,2,0,0,0,0,30.6563,24.0,39.45,0.0,22.0,2.0,96.0
194,20,27.0,0.0,1.0,46.0,0.0,7,1,0,0,0,0,0,30.2375,23.5,38.95,1.0,23.0,1.0,97.0
195,21,29.0,2.0,0.0,46.0,0.0,8,0,0,0,0,0,0,29.775,23.15,38.45,0.0,23.0,0.0,97.0
196,21,28.0,0.0,1.0,47.0,0.0,7,1,0,0,0,0,0,29.3125,22.8,37.95,0.0,23.0,0.0,97.0
197,20,27.0,0.0,1.0,48.0,0.0,6,1,1,0,0,0,0,28.9125,22.45,37.45,0.0,23.0,1.0,98.0
198,19,27.0,0.0,0.0,48.0,0.0,7,0,1,0,0,0,0,28.5313,22.1,36.95,0.0,23.0,1.0,99.0
199,20,27.0,1.0,1.0,49.0,0.0,7,1,0,0,0,0,0,28.1063,21.75,36.45,0.0,23.0,0.0,99.0
200,19,27.0,0.0,0.0,49.0,0.0,8,0,0,0,0,0,0,27.7,21.4,36.1,0.0,23.0,0.0,99.0
201,19,27.0,0.0,0.0,49.0,0.0,8,0,0,0,0,0,0,27.275,21.05,35.75,0.0,23.0,0.0,99.0
202,19,27.0,0.0,0.0,49.0,0.0,5,0,3,0,0,0,0,27.0188,20.7,35.4,0.0,23.0,3.0,102.0
203,20,28.0,1.0,0.0,49.0,0.0,5,0,3,0,0,0,0,26.825,20.35,35.4,1.0,24.0,4.0,106.0
204,20,28.0,0.0,0.0,49.0,0.0,7,0,1,0,0,0,0,26.525,20.0,35.05,1.0,25.0,2.0,108.0
205,22,30.0,2.0,0.0,49.0,0.0,8,0,0,0,0,0,0,26.1,19.65,34.7,0.0,25.0,0.0,108.0
206,22,29.0,0.0,1.0,50.0,0.0,5,1,2,0,0,0,0,25.825,19.65,34.35,0.0,25.0,2.0,110.0
207,21,29.0,0.0,0.0,50.0,0.0,8,0,0,0,0,0,0,25.4813,19.3,34.0,0.0,25.0,0.0,110.0
