run_id,tick,event_type,robot_id,task_id,details
20260905_113519_098f10,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260905_113519_098f10,3,task_assigned,R3,G00001,
20260905_113519_098f10,5,task_created,,G00002,type=PICK pickup=E-04 dropoff=PICK-1
20260905_113519_098f10,5,task_assigned,R11,G00002,
20260905_113519_098f10,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260905_113519_098f10,7,task_assigned,R5,G00003,
20260905_113519_098f10,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260905_113519_098f10,9,task_assigned,R13,G00004,
20260905_113519_098f10,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=A-05
20260905_113519_098f10,11,task_assigned,R8,G00005,
20260905_113519_098f10,12,task_completed,R13,G00004,
20260905_113519_098f10,15,task_created,,G00006,type=PICK pickup=A-04 dropoff=PICK-1
20260905_113519_098f10,15,task_assigned,R10,G00006,
20260905_113519_098f10,17,task_completed,R3,G00001,
20260905_113519_098f10,18,task_completed,R11,G00002,
20260905_113519_098f10,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260905_113519_098f10,19,task_assigned,R2,G00007,
20260905_113519_098f10,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260905_113519_098f10,19,task_assigned,R9,G00008,
20260905_113519_098f10,20,task_completed,R5,G00003,
20260905_113519_098f10,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260905_113519_098f10,23,task_assigned,R13,G00009,
20260905_113519_098f10,23,robot_blocked,R10,,"{""x"": 6, ""y"": 4}"
20260905_113519_098f10,25,task_completed,R8,G00005,
20260905_113519_098f10,25,task_created,,G00010,type=PICK pickup=D-05 dropoff=PICK-2
20260905_113519_098f10,25,task_assigned,R6,G00010,
20260905_113519_098f10,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=A-01
20260905_113519_098f10,27,task_assigned,R8,G00011,
20260905_113519_098f10,28,task_completed,R13,G00009,
20260905_113519_098f10,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260905_113519_098f10,31,task_assigned,R11,G00012,
20260905_113519_098f10,32,task_completed,R10,G00006,
20260905_113519_098f10,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260905_113519_098f10,35,task_assigned,R3,G00013,
20260905_113519_098f10,35,task_created,,G00014,type=PICK pickup=C-04 dropoff=PICK-1
20260905_113519_098f10,35,task_assigned,R4,G00014,
20260905_113519_098f10,35,robot_blocked,R4,,"{""x"": 19, ""y"": 1}"
20260905_113519_098f10,35,robot_blocked,R9,,"{""x"": 10, ""y"": 11}"
20260905_113519_098f10,36,task_completed,R8,G00011,
20260905_113519_098f10,37,task_completed,R9,G00008,
20260905_113519_098f10,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260905_113519_098f10,37,task_assigned,R13,G00015,
20260905_113519_098f10,38,task_completed,R6,G00010,
20260905_113519_098f10,39,task_completed,R2,G00007,
20260905_113519_098f10,42,task_completed,R13,G00015,
20260905_113519_098f10,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-01
20260905_113519_098f10,43,task_assigned,R6,G00016,
20260905_113519_098f10,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260905_113519_098f10,43,task_assigned,R10,G00017,
20260905_113519_098f10,45,task_completed,R11,G00012,
20260905_113519_098f10,45,task_created,,G00018,type=PICK pickup=F-05 dropoff=PICK-3
20260905_113519_098f10,45,task_assigned,R8,G00018,
20260905_113519_098f10,50,robot_blocked,R8,,"{""x"": 7, ""y"": 4}"
20260905_113519_098f10,51,task_completed,R3,G00013,
20260905_113519_098f10,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=A-06
20260905_113519_098f10,51,task_assigned,R7,G00019,
20260905_113519_098f10,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260905_113519_098f10,51,task_assigned,R13,G00020,
20260905_113519_098f10,55,task_created,,G00021,type=PICK pickup=G-01 dropoff=PICK-1
20260905_113519_098f10,55,task_assigned,R11,G00021,
20260905_113519_098f10,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260905_113519_098f10,55,task_assigned,R2,G00022,
20260905_113519_098f10,56,task_completed,R6,G00016,
20260905_113519_098f10,56,task_completed,R13,G00020,
20260905_113519_098f10,57,task_completed,R10,G00017,
20260905_113519_098f10,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=D-01
20260905_113519_098f10,59,task_assigned,R3,G00023,
20260905_113519_098f10,65,task_created,,G00024,type=PICK pickup=B-01 dropoff=PICK-1
20260905_113519_098f10,65,task_assigned,R9,G00024,
20260905_113519_098f10,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
