run_id,tick,event_type,robot_id,task_id,details
20260826_044026_059149,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260826_044026_059149,3,task_assigned,R3,G00001,
20260826_044026_059149,5,task_created,,G00002,type=PICK pickup=E-04 dropoff=PICK-1
20260826_044026_059149,5,task_assigned,R5,G00002,
20260826_044026_059149,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260826_044026_059149,7,task_assigned,R2,G00003,
20260826_044026_059149,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260826_044026_059149,9,task_assigned,R1,G00004,
20260826_044026_059149,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=A-05
20260826_044026_059149,11,task_assigned,R4,G00005,
20260826_044026_059149,15,task_created,,G00006,type=PICK pickup=A-04 dropoff=PICK-1
20260826_044026_059149,15,task_assigned,R6,G00006,
20260826_044026_059149,17,task_completed,R3,G00001,
20260826_044026_059149,17,task_completed,R1,G00004,
20260826_044026_059149,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260826_044026_059149,19,task_assigned,R3,G00007,
20260826_044026_059149,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260826_044026_059149,19,task_assigned,R1,G00008,
20260826_044026_059149,20,task_completed,R5,G00002,
20260826_044026_059149,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260826_044026_059149,23,task_assigned,R5,G00009,
20260826_044026_059149,24,task_completed,R2,G00003,
20260826_044026_059149,25,task_created,,G00010,type=PICK pickup=D-05 dropoff=PICK-2
20260826_044026_059149,25,task_assigned,R2,G00010,
20260826_044026_059149,25,robot_blocked,R3,,
20260826_044026_059149,25,robot_blocked,R6,,
20260826_044026_059149,26,robot_unblocked,R3,,
20260826_044026_059149,26,robot_replanned,R3,,
20260826_044026_059149,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=A-01
20260826_044026_059149,27,robot_unblocked,R6,,
20260826_044026_059149,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260826_044026_059149,32,task_completed,R4,G00005,
20260826_044026_059149,33,task_assigned,R4,G00011,
20260826_044026_059149,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260826_044026_059149,35,task_created,,G00014,type=PICK pickup=C-04 dropoff=PICK-1
20260826_044026_059149,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260826_044026_059149,39,task_completed,R5,G00009,
20260826_044026_059149,40,task_assigned,R5,G00013,
